"participants","msi_score","register","condition","response","instrument"
15,80,"low","HRSE",3,"Alto voice"
15,80,"low","congr.",4,"Alto voice"
15,80,"mid","LRSE",5,"Alto voice"
15,80,"mid","MRSE",5,"Alto voice"
15,80,"mid","HRSE",4,"Alto voice"
15,80,"mid","congr.",4,"Alto voice"
15,80,"high","LRSE",5,"Alto voice"
15,80,"high","MRSE",5,"Alto voice"
15,80,"high","HRSE",5,"Alto voice"
15,80,"high","congr.",4,"Alto voice"
16,87,"low","LRSE",1,"Alto voice"
16,87,"low","MRSE",1,"Alto voice"
16,87,"low","HRSE",1,"Alto voice"
16,87,"low","congr.",1,"Alto voice"
16,87,"mid","LRSE",1,"Alto voice"
16,87,"mid","MRSE",1,"Alto voice"
16,87,"mid","HRSE",1,"Alto voice"
16,87,"mid","congr.",1,"Alto voice"
16,87,"high","LRSE",1,"Alto voice"
16,87,"high","MRSE",1,"Alto voice"
16,87,"high","HRSE",2,"Alto voice"
